Cafe Name,Location,Rating,Year,Cuisine,Area
26 Thai Kitchen,"Atlanta, Georgia, United States",4 ⭐️,2022,Thai,Midtown Atlanta
55 Fahrenheit,"Louisiana, New Orleans, United States",4 ⭐️,2022,"American, Seafood",Canal Street Marriott
5th District Deli,"Atlanta, Georgia, United States",1 ⭐️,2022,Deli,Student Center - GT
Aamar Indian Cuisine,"Atlanta, Georgia, United States",4 ⭐️,2021,Indian,Downtown
AC Hotel by Marriott Palo Alto,"California, Palo Alto, United States",3 ⭐️,2023,Hotel Buffet,San Antonio Road
Al Hamra Indian Pizza & Curry,"California, San Francisco, United States",4 ⭐️,2023,Indian Pizza,16th Street
Aladdin Gyro-Cery & Deli,"Seattle, United States, Washington",4 ⭐️,2023,Mediterranean,University Way
Ali's Cafe and Pizzeria,"India, Kanpur, Uttar Pradesh",4 ⭐️,2023,Italian,Civil Lines
Alif Cafe,"Atlanta, Georgia, United States",4 ⭐️,2022,Bangladeshi,Buford Highway
AltaToro,"Atlanta, Georgia, United States",4 ⭐️,2023,Latin American,Midtown Atlanta
Amai Dessert Bar and Lounge,"Atlanta, Georgia, United States",3 ⭐️,2022,Dessert,Tech Green - Georgia Tech
Amalfi Cucina & Mercato,"Atlanta, Georgia, United States",4 ⭐️,2023,Italian,Downtown
Amrik Sukhdev,"Haryana, India, Murthal",4 ⭐️,2022,Indian,Highway
Amul Veg. Restaurant,"Georgia, Norcross, United States",4 ⭐️,2022,Indian,Global Mall
Anaicha's Food Joint,"India, Kanpur, Uttar Pradesh",4 ⭐️,2022,Indian,Arya Nagar
https://www.andytownsf.com/,"California, San Francisco, United States",4 ⭐️,2023,Coffee Spot,Franchise Chain
Antico Pizza Napoletana,"Atlanta, Georgia, United States",5 ⭐️,2022,Pizza Restaurant,West-Midtown
Antojitos Mexicanos,"California, San Francisco, United States",3 ⭐️,2023,Mexican,Irving Street
Apna Bazar,"California, Sunnyvale, United States",4 ⭐️,2022,Indian,Cala Center
Appaloosa Grill,"Colorado, Denver, United States",4 ⭐️,2023,American,Denver Masonic Building
Asha Tea House,"California, San Francisco, United States",4 ⭐️,2023,Tea Spot,Kearny Street
Asian Vegan Kitchen,"Atlanta, Georgia, United States",4 ⭐️,2021,Asian Fusion,Cloud Kitchen
Atlanta Breakfast Club,"Atlanta, Georgia, United States",5 ⭐️,2022,Southern United States,Downtown
Atwoods Pizza Cafe,"Atlanta, Georgia, United States",4 ⭐️,2021,Pizza Restaurant,Midtown Atlanta
Aunt Sally's Pralines,"Louisiana, New Orleans, United States",3 ⭐️,2022,Dessert,French Quarter
Auntie Anne's,"Atlanta, Georgia, United States",3 ⭐️,2022,Pretzel,Lenox Mall
Aviva by Kameel,"Atlanta, Georgia, United States",5 ⭐️,2022,Mediterranean,CODA
Aziza,"Atlanta, Georgia, United States",3 ⭐️,2022,Israeli,Westside Provisions District
Baba Biryani,"India, Kanpur, Uttar Pradesh",4 ⭐️,2022,Authentic Indian Chicken,Arya Nagar
Baby Doll Pizza,"Oregon, Portland, United States",4 ⭐️,2023,Pizza Restaurant,Food Delivery Services
Bacchu Lal Kachori,"India, Kanpur, Uttar Pradesh",4 ⭐️,2022,Indian Breakfast,Arya Nagar
Bagatelle,"Mexico, Quintana Roo, Tulum",5 ⭐️,2023,Mexican,Tulum Beach
Banaaras Paan,"Gurgaon, Haryana, India",4 ⭐️,2022,Paan,One Horizon Center
Bangkok Bold Asian Fusion Kitchen,"Atlanta, Georgia, United States",3 ⭐️,2023,Thai,Food Delivery Services
Bangkok House Thai Noodles,"California, San Francisco, United States",3 ⭐️,2023,Thai,Irving Street
Bangkok Thai,"Atlanta, Georgia, United States",4 ⭐️,2022,Thai,Ansley Square Shopping Center
BAOZ,"California, San Francisco, United States",5 ⭐️,2023,Chinese,Food Delivery Services
Bar Taco,"Atlanta, Georgia, United States",3 ⭐️,2022,Mexican,West-Midtown
Baraka Shawarma Mediterranean Grill,"Atlanta, Georgia, United States",3 ⭐️,2021,Mediterranean,Downtown
Baskin Robbins,"Atlanta, Georgia, United States",3 ⭐️,2022,Ice cream,Multiple
Bawarchi Biryanis,"Decatur, Georgia, United States",5 ⭐️,2021,Authentic Indian Chicken,Food Delivery Services
Belgian Waffle,"India, Kanpur, Uttar Pradesh",4 ⭐️,2022,Dessert,Arya Nagar
Bell Street Burritos,"Atlanta, Georgia, United States",4 ⭐️,2021,Mexican,Krog Street
Bento Bus,"Atlanta, Georgia, United States",4 ⭐️,2021,Japanese,Tech Green - Georgia Tech
Bento Sushi,"Atlanta, Georgia, United States",3 ⭐️,2022,Japanese,Student Center - GT
Berco's,"India, New Delhi",3 ⭐️,2023,Indo-Chinese,International Airport
Besharam,"California, San Francisco, United States",5 ⭐️,2023,Indian Fusion,Minnesota Street Project
Bhagwan Das Ice Cream Parlour,"India, Kanpur, Uttar Pradesh",5 ⭐️,2022,Ice cream,Mall Road
Bikanervala,"India, New Delhi",5 ⭐️,2022,Indian Breakfast,Aerocity
Biryani & Kababs,"California, Sunnyvale, United States",4 ⭐️,2022,Indian,Food Delivery Services
Biryani N Grill,"Georgia, Smyrna, United States",2 ⭐️,2021,Authentic Indian Chicken,Food Delivery Services
Bismillah Cafe,"Atlanta, Georgia, United States",5 ⭐️,2022,Bangladeshi,Buford Highway
Biswas Grocery and Cafe,"Atlanta, Georgia, United States",4 ⭐️,2022,Bangladeshi,Buford Highway
Blaze Pizza,"Atlanta, Georgia, United States",4 ⭐️,2023,Pizza Restaurant,17th Street
Blue Donkey,"Atlanta, Georgia, United States",4 ⭐️,2022,Coffee Spot,Georgia Tech
Blue India,"Atlanta, Georgia, United States",4 ⭐️,2021,Indian,Midtown Atlanta
Boba Guys,"California, San Francisco, United States",4 ⭐️,2022,Boba,Hayes Valley
Boba Up,"Seattle, United States, Washington",4 ⭐️,2023,Boba,University Way
Bodega,"India, Kanpur, Uttar Pradesh",4 ⭐️,2023,Multi Cuisine,Arya Nagar
Bojangles,"Atlanta, Georgia, United States",3 ⭐️,2022,Southern United States,Domestic Airport
Bollywood Pizza N Curry,"California, San Francisco, United States",3 ⭐️,2023,Indian Pizza,Food Delivery Services
Bombay Namkeen Bhandar,"India, Kanpur, Uttar Pradesh",3 ⭐️,2022,Indian Snacks,Arya Nagar
Botica,"Atlanta, Georgia, United States",2 ⭐️,2022,Mexican,Peachtree Road
Botiwalla,"Atlanta, Georgia, United States",4 ⭐️,2022,Indian,Ponce City Market
